date,states,cases,number
2020-03-06,minnesota,confirmed,1
2020-03-06,minnesota,deaths,0
2020-03-06,nebraska,confirmed,14
2020-03-06,nebraska,deaths,0
2020-03-06,nevada,confirmed,2
2020-03-06,nevada,deaths,0
2020-03-06,new hampshire,confirmed,2
2020-03-06,new hampshire,deaths,0
2020-03-06,new jersey,confirmed,4
2020-03-06,new jersey,deaths,0
2020-03-06,new york,confirmed,44
2020-03-06,new york,deaths,0
2020-03-06,north carolina,confirmed,2
2020-03-06,north carolina,deaths,0
2020-03-06,oklahoma,confirmed,1
2020-03-06,oklahoma,deaths,0
2020-03-06,oregon,confirmed,2
2020-03-06,oregon,deaths,0
2020-03-06,pennsylvania,confirmed,2
2020-03-06,pennsylvania,deaths,0
2020-03-06,rhode island,confirmed,3
2020-03-06,rhode island,deaths,0
2020-03-06,south carolina,confirmed,2
2020-03-06,south carolina,deaths,0
2020-03-06,tennessee,confirmed,1
2020-03-06,tennessee,deaths,0
2020-03-06,texas,confirmed,19
2020-03-06,texas,deaths,0
2020-03-06,utah,confirmed,3
2020-03-06,utah,deaths,0
2020-03-06,washington,confirmed,86
2020-03-06,washington,deaths,12
2020-03-06,wisconsin,confirmed,1
2020-03-06,wisconsin,deaths,0
2020-03-07,arizona,confirmed,5
2020-03-07,arizona,deaths,0
2020-03-07,california,confirmed,100
2020-03-07,california,deaths,1
2020-03-07,colorado,confirmed,8
2020-03-07,colorado,deaths,0
2020-03-07,district of columbia,confirmed,1
2020-03-07,district of columbia,deaths,0
2020-03-07,florida,confirmed,12
2020-03-07,florida,deaths,2
2020-03-07,georgia,confirmed,7
2020-03-07,georgia,deaths,0
2020-03-07,hawaii,confirmed,1
2020-03-07,hawaii,deaths,0
2020-03-07,illinois,confirmed,6
2020-03-07,illinois,deaths,0
2020-03-07,indiana,confirmed,1
2020-03-07,indiana,deaths,0
2020-03-07,kansas,confirmed,1
2020-03-07,kansas,deaths,0
2020-03-07,kentucky,confirmed,1
2020-03-07,kentucky,deaths,0
2020-03-07,maryland,confirmed,3
2020-03-07,maryland,deaths,0
2020-03-07,massachusetts,confirmed,13
2020-03-07,massachusetts,deaths,0
2020-03-07,minnesota,confirmed,1
2020-03-07,minnesota,deaths,0
2020-03-07,missouri,confirmed,1
2020-03-07,missouri,deaths,0
2020-03-07,nebraska,confirmed,14
2020-03-07,nebraska,deaths,0
2020-03-07,nevada,confirmed,2
2020-03-07,nevada,deaths,0
2020-03-07,new hampshire,confirmed,4
2020-03-07,new hampshire,deaths,0
2020-03-07,new jersey,confirmed,4
2020-03-07,new jersey,deaths,0
2020-03-07,new york,confirmed,89
2020-03-07,new york,deaths,0
2020-03-07,north carolina,confirmed,2
2020-03-07,north carolina,deaths,0
2020-03-07,oklahoma,confirmed,1
2020-03-07,oklahoma,deaths,0
2020-03-07,oregon,confirmed,6
2020-03-07,oregon,deaths,0
2020-03-07,pennsylvania,confirmed,4
2020-03-07,pennsylvania,deaths,0
2020-03-07,rhode island,confirmed,3
2020-03-07,rhode island,deaths,0
2020-03-07,south carolina,confirmed,2
2020-03-07,south carolina,deaths,0
2020-03-07,tennessee,confirmed,1
